,Cluster,Lambda,Error 1
0,1,0.0,665.0975575389035
1,1,0.5,673.9691481900342
2,1,1.0,673.9021747868992
3,1,2.0,673.7453445329134
4,1,10.0,672.4365251860818
5,1,50.0,665.888166954416
6,1,100.0,657.7601601104919
7,2,0.0,664.0828116493108
8,2,0.5,673.0012764332596
9,2,1.0,673.2469046500933
10,2,2.0,673.296928715828
11,2,10.0,672.5492352535113
12,2,50.0,668.1786673720258
13,2,100.0,662.7108886735841
14,3,0.0,666.2156904377438
15,3,0.5,670.1785250064431
16,3,1.0,671.2446255227634
17,3,2.0,671.863901055952
18,3,10.0,671.876821601941
19,3,50.0,668.6967753473084
20,3,100.0,664.5578229742088
21,4,0.0,665.5190687852527
22,4,0.5,667.0491105476067
23,4,1.0,668.4084846363954
24,4,2.0,669.5671329884505
25,4,10.0,670.563192451173
26,4,50.0,668.2864348857265
27,4,100.0,664.9612702539374
28,5,0.0,675.7785879078388
29,5,0.5,665.2967238289666
30,5,1.0,666.1588109332671
31,5,2.0,667.2042072628564
32,5,10.0,668.7902440258912
33,5,50.0,667.2324923741941
34,5,100.0,664.4654329460503
35,6,0.0,679.3286531546948
36,6,0.5,664.6255330188022
37,6,1.0,665.0598085793206
38,6,2.0,665.699674149021
39,6,10.0,667.1250551305812
40,6,50.0,666.0038010166087
41,6,100.0,663.6225268714396
42,7,0.0,676.9884937577468
43,7,0.5,664.3317317047679
44,7,1.0,664.5266437340824
45,7,2.0,664.8396375174946
46,7,10.0,665.716187019048
47,7,50.0,664.7384476137382
48,7,100.0,662.623320322602
49,8,0.0,675.8077539396047
50,8,0.5,664.1903871989168
51,8,1.0,664.2577398191381
52,8,2.0,664.3678703969125
53,8,10.0,664.6562016361271
54,8,50.0,663.5347875746781
55,8,100.0,661.5666283102614
56,9,0.0,671.2044163526261
57,9,0.5,664.1358766942017
58,9,1.0,664.1498280655943
59,9,2.0,664.1696651710132
60,9,10.0,664.1183626213358
61,9,50.0,662.8242687256493
62,9,100.0,660.9429477992154
63,15,0.0,667.9572426874322
64,15,0.5,664.0653667611006
65,15,1.0,663.983247221794
66,15,2.0,663.836334912483
67,15,10.0,662.9599215186387
68,15,50.0,660.883306089344
69,15,100.0,659.2389189723278
70,20,0.0,664.9243068464414
71,20,0.5,664.1802822040765
72,20,1.0,664.0267333109098
73,20,2.0,663.836057605454
74,20,10.0,662.797567639898
75,20,50.0,660.3189467786191
76,20,100.0,658.7162944996636
77,25,0.0,664.2349592444648
78,25,0.5,664.4400980130278
79,25,1.0,664.1471149010113
80,25,2.0,663.8957294283505
81,25,10.0,662.8446859963391
82,25,50.0,659.7976059842458
83,25,100.0,657.8089754415138
84,30,0.0,670.6432448052257
85,30,0.5,664.6140044329188
86,30,1.0,664.2387161553731
87,30,2.0,663.9443866184333
88,30,10.0,662.9666584780399
89,30,50.0,659.951780149463
90,30,100.0,657.7253286320774
91,40,0.0,688.0384558770804
92,40,0.5,665.24745384618
93,40,1.0,664.6685712224063
94,40,2.0,664.1604231892426
95,40,10.0,663.1818149830166
96,40,50.0,660.8291351849971
97,40,100.0,658.5309118894811
98,50,0.0,614.1401161272656
99,50,0.5,665.5888807153249
100,50,1.0,664.9904326724054
101,50,2.0,664.3684970515575
102,50,10.0,663.2284514014758
103,50,50.0,661.238707131544
104,50,100.0,659.2024814911709
105,60,0.0,567.7790134026783
106,60,0.5,665.9528994258885
107,60,1.0,665.3795617189727
108,60,2.0,664.6893946293957
109,60,10.0,663.2963698744904
110,60,50.0,661.5838728955597
111,60,100.0,659.8897937971204
112,70,0.0,374.7934930764762
113,70,0.5,666.1830541285084
114,70,1.0,665.6897193027636
115,70,2.0,665.0286523331426
116,70,10.0,663.3231140348806
117,70,50.0,661.6783970611069
118,70,100.0,660.218271294215
119,80,0.0,904.4271511750217
120,80,0.5,666.3587083164118
121,80,1.0,665.894702806929
122,80,2.0,665.2878131799764
123,80,10.0,663.4518632650928
124,80,50.0,661.8116714684251
125,80,100.0,660.5498819766726
126,90,0.0,916.2983296236011
127,90,0.5,666.7020393436125
128,90,1.0,666.177446446177
129,90,2.0,665.60404224106
130,90,10.0,663.645422897388
131,90,50.0,661.8461446148619
132,90,100.0,660.7597583885216
133,100,0.0,39021.26902825844
134,100,0.5,666.8820931842129
135,100,1.0,666.2482005055344
136,100,2.0,665.6717581788604
137,100,10.0,663.6902811627931
138,100,50.0,661.797491289573
139,100,100.0,660.775016141146
