,Cluster,Lambda,Error 1,Error 2
0,1,0.0,665.0975575389035,59164.468562136426
1,1,0.5,673.9691481900342,58722.11430850176
2,1,1.0,673.9021747868992,58714.9423713651
3,1,2.0,673.7453445329134,58700.61236723378
4,1,10.0,672.4365251860818,58586.08038285819
5,1,50.0,665.888166954416,58015.62718271563
6,1,100.0,657.7601601104919,57307.68656764426
7,2,0.0,664.0828118133786,59290.97736175952
8,2,0.5,673.0012764323103,58735.22013333616
9,2,1.0,673.2469046469314,58729.19560572238
10,2,2.0,673.2969287158431,58719.11162246948
11,2,10.0,672.5492352536455,58642.03068431506
12,2,50.0,668.1786673719931,58259.11784722504
13,2,100.0,662.7108886735518,57782.84215689494
14,3,0.0,666.2156904377438,59477.59127553247
15,3,0.5,670.1785250064431,58787.66412195089
16,3,1.0,671.2446255227634,58764.491175869756
17,3,2.0,671.863901055952,58748.990718612244
18,3,10.0,671.876821601941,58685.48734486153
19,3,50.0,668.6967753473084,58394.20238124975
20,3,100.0,664.5578229742088,58032.38189987963
21,4,0.0,665.5190687852527,59323.48206401024
22,4,0.5,667.0491105476067,58928.6924985302
23,4,1.0,668.4084846363954,58858.38195572722
24,4,2.0,669.5671329884505,58813.8358713935
25,4,10.0,670.563192451173,58736.91176910669
26,4,50.0,668.2864348857265,58495.57407971287
27,4,100.0,664.9612702539374,58200.64576100755
28,5,0.0,675.7785873362329,60074.7272298148
29,5,0.5,665.2967238289659,59094.10753548754
30,5,1.0,666.1588109332669,59008.79760435857
31,5,2.0,667.2042072628564,58932.446174744844
32,5,10.0,668.7902440258912,58812.3825562302
33,5,50.0,667.2324923741941,58593.82012892069
34,5,100.0,664.4654329460503,58341.08591038764
35,6,0.0,679.3286528364978,60495.97976457966
36,6,0.5,664.6255330188018,59194.189481702786
37,6,1.0,665.0598085793207,59133.10839095159
38,6,2.0,665.6996741490209,59060.24554654223
39,6,10.0,667.1250551305812,58909.043725233314
40,6,50.0,666.0038010166087,58697.076750682245
41,6,100.0,663.6225268714396,58472.478886683224
42,7,0.0,676.9884917456487,60623.60910025819
43,7,0.5,664.3317317047679,59247.37853630162
44,7,1.0,664.5266437340822,59214.00944331882
45,7,2.0,664.8396375174945,59165.41950874755
46,7,10.0,665.716187019048,59022.71547579217
47,7,50.0,664.7384476137382,58813.092282104786
48,7,100.0,662.623320322602,58607.35712315334
49,8,0.0,675.8077449845179,60675.920770546094
50,8,0.5,664.1903871989176,59273.661287233335
51,8,1.0,664.2577398191385,59259.21273296351
52,8,2.0,664.3678703969122,59235.18556620782
53,8,10.0,664.6562016361271,59136.37685043473
54,8,50.0,663.5347875746783,58943.183486902206
55,8,100.0,661.5666283102614,58752.96046992996
56,9,0.0,671.6293905670968,61155.1335587845
57,9,0.5,664.1358767045501,59283.251307719074
58,9,1.0,664.1498280688578,59277.01577245928
59,9,2.0,664.1696651721386,59265.85815453221
60,9,10.0,664.1183626212236,59207.17335228426
61,9,50.0,662.8242687256026,59045.22878594664
62,9,100.0,660.9429477992155,58872.55986814925
63,15,0.0,667.9573415239079,61982.0885730114
64,15,0.5,664.0653667611036,59294.30905025394
65,15,1.0,663.9832472217925,59298.829008059016
66,15,2.0,663.8363349124828,59307.51245943354
67,15,10.0,662.9599215186388,59362.06468813427
68,15,50.0,660.883306089344,59439.864141708225
69,15,100.0,659.2389189723278,59398.10400070215
70,20,0.0,664.9246265853495,62009.365987753714
71,20,0.5,664.1802822040737,59296.014233500704
72,20,1.0,664.0267333109088,59298.61281939561
73,20,2.0,663.8360576054525,59305.99485857661
74,20,10.0,662.7975676398983,59362.856179659764
75,20,50.0,660.318946778619,59530.40223841945
76,20,100.0,658.7162944996636,59588.36323428381
77,25,0.0,668.9266894833384,62378.69087241696
78,25,0.5,664.4400979908136,59303.49399299423
79,25,1.0,664.1471149056506,59298.063592602346
80,25,2.0,663.8957294258486,59299.21649249813
81,25,10.0,662.8446859970422,59327.70808810511
82,25,50.0,659.7976059843621,59472.499158146624
83,25,100.0,657.8089754415307,59606.59037027257
