,Clusters,lambda,Error,Validation Error,Test Error
20,200,0.01,2.249936156869166,2.399288774682482,2.302560104383557
19,190,0.01,2.2523172411109824,2.4004581548123065,2.3045855076045143
18,180,0.01,2.2602647948690384,2.4079528711983964,2.313110392501987
17,170,0.01,2.2640439964624384,2.4103143785285273,2.3164194038569397
16,160,0.01,2.2690106265072445,2.414998730544044,2.32150961586746
15,150,0.01,2.2766148438049343,2.4182853275789777,2.3280137783167256
14,140,0.01,2.282141629978763,2.423650844222406,2.33289673003988
12,120,0.01,2.2899518813478865,2.427975281041907,2.3397599814044976
13,130,0.01,2.2885047209512317,2.4296070792285227,2.3389009255044613
11,110,0.01,2.300717976535376,2.4367546822601245,2.349098870370321
41,200,0.1,2.309927619666431,2.4537828810929003,2.3585518789830804
40,190,0.1,2.314752334342602,2.456267724169089,2.3625673997094907
10,100,0.01,2.3269623244584245,2.460440514917802,2.3724763362298593
38,170,0.1,2.32695035144415,2.467696025718146,2.372395000081437
39,180,0.1,2.326841747503921,2.4710197707499386,2.3732514350536613
37,160,0.1,2.34091415747029,2.480688080973722,2.384614401566565
9,90,0.01,2.344111896980674,2.48569720738804,2.387500496830642
36,150,0.1,2.3563969494085106,2.491090861467651,2.3977753659086862
8,80,0.01,2.35601530774853,2.4994022706149224,2.396590853768807
35,140,0.1,2.371914330702887,2.5089228245546082,2.410801837444316
34,130,0.1,2.39261577661967,2.5306258764870933,2.4290719561764664
7,70,0.01,2.3961828966584124,2.535023399404665,2.435086061933114
33,120,0.1,2.3982264297351414,2.5360154398904386,2.432481909633379
32,110,0.1,2.4227231049845614,2.5589350223924154,2.45404488508973
6,60,0.01,2.42521450023039,2.565210244217074,2.465097101868889
5,50,0.01,2.46538761776342,2.6054492554829705,2.495316918662333
31,100,0.1,2.4706449862453406,2.607340987293174,2.497895276036554
30,90,0.1,2.501243615336712,2.6442800385172265,2.5253282264044095
62,200,1.0,2.5082874377920734,2.6504788034470534,2.530743673155065
