,Clusters,Error,Validation Error,Test Error
18,90,1.0480926961558428,1.1145328487370127,1.0612317092745545
16,70,1.077282613356503,1.1205646601791848,1.0900393186117472
15,60,1.0838258289557656,1.1347092563134056,1.0878633208966022
17,80,1.0773257656133501,1.1469280060128313,1.0933190935289967
14,50,1.124898166939697,1.171619621385478,1.1186915649161837
19,100,1.1110003548838758,1.1739393482538396,1.1222253163228473
13,40,1.1617009447575772,1.1981231909718029,1.1459352979749124
12,30,1.1636987370091958,1.215612868584342,1.1503962423664684
11,25,1.1862781125444946,1.2230505756503205,1.1705636693207913
10,20,1.2642997240885936,1.2757445439699435,1.2665735019653688
9,15,1.3177107484249369,1.3380116943817166,1.336093321849123
6,7,1.8398297157482764,1.952903248516467,1.822991254093481
7,8,1.9294192021042182,2.0571922614774523,1.9209465759687752
3,4,2.041161504884483,2.1085580951512926,2.033950020439857
8,9,2.0062281620439077,2.1166546725934503,2.0008275446473025
4,5,2.0486829211882482,2.13125061525672,2.0474200308224564
1,2,2.0525627703529286,2.1329904685871464,2.0499201008877543
2,3,2.0525755050471206,2.1333730677091665,2.050444208426261
5,6,2.047027586654003,2.133643662581671,2.0470885578157394
0,1,2.1022464932504388,2.1823556220900375,2.0988941000844594
