,station,Present_Tmax,LDAPS_RHmin,LDAPS_RHmax,LDAPS_Tmax_lapse,LDAPS_Tmin_lapse,LDAPS_WS,LDAPS_LH,LDAPS_CC2,LDAPS_CC4,LDAPS_PPT1,LDAPS_PPT2,LDAPS_PPT3,LDAPS_PPT4,lon,Slope,Solar radiation,Next_Tmin,Next_Tmax
2798,24.0,25.3,53.09897995,88.31471252,28.83870746,22.71476403,4.49199223,35.35706055,0.397158774,0.5364216620000001,0.21762846,0.0,0.0,0.0,126.90899999999999,0.2223,4849.283203,22.9,28.9
1429,5.0,30.0,57.95787048,88.35305023,28.62904015,22.66460348,5.869878927999999,89.33182446,0.218585558,0.001589011,0.0,0.0,0.007545544,0.0,127.135,0.5055,4563.660156,21.5,31.4
4835,11.0,32.6,37.92018127,77.27518463,33.55004704,24.52971683,6.451454063,71.79087059,0.015764848,0.27827986899999996,0.0,0.0,0.0,0.0,127.085,0.6233,5795.268066,22.2,33.6
5434,10.0,30.0,66.99668121,95.04851532,26.2938497,23.36563381,4.801001747,34.45279276,0.790333477,0.787790274,4.833831708,2.626041179,0.0,0.029888337,126.955,5.1782,5352.822754,22.2,31.1
7260,11.0,31.3,54.65180969,80.51948547,28.94309034,24.04045118,6.525221586,49.5862867,0.356728665,0.67929814,0.0,0.0,0.0,0.0,127.085,0.6233,5102.056152,23.8,28.4
5486,12.0,33.5,39.38034439,79.96891022,35.40352743,26.60564377,6.186722994,35.67009004,0.047560583,0.077079203,0.00045453800000000004,0.0,0.0,0.0,126.988,0.5931,5377.179199,25.2,34.7
6019,20.0,31.9,57.34787369,94.8445282,28.97498635,23.21901374,7.308197627,99.17282895,0.061952368,0.7002702409999999,0.0,0.0,0.0,0.006936037,127.00399999999999,4.7296,4746.358886999999,22.5,32.0
2684,10.0,28.2,54.83068085,90.68354034,28.685497899999998,22.01267311,5.467184822,57.74950337,0.114027945,0.23984919300000002,0.0,0.0,0.0,0.0,126.955,5.1782,4950.244140999999,19.7,29.2
4880,6.0,33.9,46.97584152,81.54774475,32.60620855,25.73577532,5.983939438999999,60.034681000000006,0.179388994,0.728184838,0.0,0.0,0.0,0.245224978,127.042,0.1457,5781.818359000001,24.7,35.7
1594,20.0,30.1,86.81349945,98.34252167,22.02118274,19.7904442,13.36873025,77.47858826,0.625152045,0.32905140899999996,1.019411452,0.17215235199999998,0.454998625,0.009224055,127.00399999999999,4.7296,5921.158691,20.9,23.9
3733,9.0,30.5,61.16822815,96.25293732,26.53832208,23.07347562,5.916901936,81.09401248,0.654447504,0.012529955,0.013786722,0.247454124,0.04249307,0.0,126.82600000000001,0.4125,5545.96875,23.8,30.1
5188,14.0,33.2,51.95470428,76.39238739,30.3588529,26.5042624,7.35164845,25.75169361,0.672386915,0.547400286,0.0,0.254338134,0.444699122,0.0,126.927,0.618,5583.572754,27.0,32.4
3487,13.0,27.5,46.41499329,74.24439240000001,26.48390303,17.76620331,7.8546992939999996,29.97451055,0.201658119,0.60629372,0.0,0.0,0.0,0.0,127.083,2.6865,5701.450195,18.9,28.5
3494,20.0,28.0,56.18239594,82.40735626,25.40335014,17.20793843,12.25638904,85.07395673,0.19676547100000003,0.512535038,0.0,0.0,0.0,0.004517335,127.00399999999999,4.7296,5780.612305,18.4,28.8
2508,9.0,29.8,36.62063599,82.46711731,31.09255249,19.96789731,9.511165659,122.13580970000001,0.099390726,0.48826219,0.0,0.0,0.0,0.0,126.82600000000001,0.4125,5227.494629,23.2,31.4
3222,23.0,29.1,39.05987549,78.42328644,29.41603737,21.53921285,5.587932338,92.77527126,0.038984746,0.23676474100000003,0.0,0.0,0.0,0.0,126.891,0.1554,5818.678711,20.8,32.2
2875,1.0,25.8,51.50577927,92.46333313,27.16423273,19.96830798,4.886200647,75.67047753,0.237387383,0.509164147,0.0,0.0,0.0,0.0,126.991,2.785,4879.562011999999,19.1,27.9
2886,12.0,29.4,44.4521904,89.33401489,28.87158613,21.61857317,5.306418041000001,20.53816473,0.292041061,0.6061167470000001,0.0,0.0,0.0,0.0,126.988,0.5931,4773.436522999999,20.1,29.4
625,1.0,27.2,56.36392593,97.09764099,29.07942833,22.47706098,7.1984206539999995,81.02690638,0.163760202,0.039585502,0.0,0.0,0.0,0.0,126.991,2.785,5691.504395,20.6,29.1
6287,13.0,32.7,35.72158432,86.52616119,33.07170322,23.88415023,5.628773014,61.86821119,0.145005695,0.012629531999999999,0.0,0.0,0.0,0.0,127.083,2.6865,5835.557617,23.8,33.8
6838,14.0,32.4,47.46096039,74.8881073,30.9244077,25.11991029,5.795191119,18.53068237,0.159508511,0.49822842,0.0,0.0,0.0,0.0,126.927,0.618,5524.800781,24.9,29.6
2100,1.0,22.5,49.29236984,97.95995331,27.96027211,21.01865122,5.268529798,83.50530434,0.524417143,0.464101596,0.78564472,0.207764406,0.09251803199999999,0.008941491,126.991,2.785,5728.64502,16.5,22.5
4920,21.0,33.2,60.16802597,92.54558563,28.76491731,23.47654457,4.638036668,73.04873908,0.418891566,0.48725241399999997,1.140524398,0.00037647699999999995,0.312487493,0.650055212,127.04,0.5721,5756.556640999999,22.7,30.3
7700,1.0,20.0,35.65217209,89.97319031,24.32373711,16.12889915,7.087328702000001,108.98110829999999,0.014955466,0.000629825,0.0,0.0,0.0,0.0,126.991,2.785,4614.76123,15.1,23.8
3899,25.0,32.3,66.17541504,89.32660675,30.00552918,26.0015245,9.604848842,42.49343459,0.543901465,0.28954448899999996,0.010323079,0.264143745,0.0,0.0,126.97,0.2713,5390.352051,24.5,30.3
2620,21.0,29.8,62.12376404,83.81911469,27.012361900000002,23.20448413,4.708059917,8.940749407,0.6517486379999999,0.667183001,0.0,0.002854179,0.000334818,0.0,127.04,0.5721,5093.562988000001,21.9,26.5
3981,7.0,31.9,61.23766327,91.52323914,31.09280868,25.75346562,4.1233720730000005,114.5758504,0.210417143,0.058326302000000003,0.0,0.0,0.0,0.0,126.838,0.0985,5280.373535,26.0,34.0
4143,19.0,30.4,35.43240356,78.26646423,32.41977283,23.22628488,6.257639448,50.39106401,0.12036314,0.0,0.0,0.0,0.0,0.0,126.93799999999999,1.7678,5161.941406,21.3,32.4
7182,8.0,30.7,65.45708466,77.96784973,29.43549978,26.52143611,6.21459955,38.76326688,0.41475401799999995,0.44365391299999996,0.0,0.0,0.0,0.0,126.91,1.5629,5174.513672,23.2,25.4
5,6.0,31.9,52.43712616,85.30725098,29.21934227,23.8226129,6.182295262999999,50.23138913,0.280817986,0.14636289800000002,0.0,0.0,0.0,0.0,127.042,0.1457,5873.780761999999,24.0,31.5
2535,11.0,31.0,56.202087399999996,85.06109619,28.58072726,22.61256734,7.63040476,51.30340226,0.34413381299999996,0.467135617,0.0,0.0017537129999999998,0.043389185999999996,0.23306481899999998,127.085,0.6233,5190.547852000001,20.4,27.7
1559,10.0,29.9,57.08757401,80.90775299,27.6773605,22.62904567,6.528770059,41.48649244,0.272890494,0.6519752670000001,0.0,0.0,0.0,0.063460075,126.955,5.1782,5887.616211,20.5,29.0
6775,1.0,24.7,56.70177078,92.52715302,31.77412434,23.8806608,6.201210489,120.59803840000001,0.211887747,0.022010059,0.0,0.0,0.0,0.0,126.991,2.785,5710.657227000001,22.5,31.5
7685,11.0,23.5,45.93854523,78.02349854,23.4203076,16.23445674,4.847267722,35.40095687,0.645505584,0.13902878400000002,0.0,0.0,0.0,0.0,127.085,0.6233,4506.012207,16.2,23.5
4295,21.0,31.8,30.98143196,74.22494507,33.75746085,23.6471163,6.548325956,14.80546836,0.322623433,0.14245044199999998,0.0,0.0,0.0,0.0,127.04,0.5721,4933.166992,24.7,32.5
4451,2.0,29.7,59.35290909,88.25456238,24.91049614,20.15141189,13.63806995,53.08953142,0.691182548,0.7641992790000001,0.0,0.043277864000000006,0.344350693,1.063601936,127.03200000000001,0.5141,4694.338379,19.0,24.7
