            Features     VIF Factor
14               lat  645936.650552
15               lon  642818.116708
4   LDAPS_Tmax_lapse     738.071415
5   LDAPS_Tmin_lapse     610.863847
3        LDAPS_RHmax     325.872530
1       Present_Tmax     228.253300
17   Solar radiation     185.263573
2        LDAPS_RHmin      95.481712
6           LDAPS_WS      14.071155
8          LDAPS_CC2       9.477909
7           LDAPS_LH       6.555117
0            station       4.596801
9          LDAPS_CC4       4.429647
16             Slope       2.133494
11        LDAPS_PPT2       1.549051
10        LDAPS_PPT1       1.384543
13        LDAPS_PPT4       1.325994
12        LDAPS_PPT3       1.286732
