,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_activation,param_alpha,param_batch_size,param_hidden_layer_sizes,param_learning_rate,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0,0.013031959533691406,0.0031213573311892917,0.000645589828491211,0.0001261910958297629,logistic,0,100,5,constant,lbfgs,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'constant', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
1,0.7504530429840088,0.07676488416806819,0.0009119510650634766,0.0003913743916522137,logistic,0,100,5,constant,sgd,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'constant', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
2,0.6745916843414307,0.13739554689788258,0.0005160331726074219,8.425573607994907e-05,logistic,0,100,5,constant,adam,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'constant', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
3,0.008242225646972657,0.0005113309766881112,0.0003797054290771484,2.4102031209897968e-05,logistic,0,100,5,adaptive,lbfgs,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
4,0.563134241104126,0.16250121405244752,0.0005504131317138672,0.00012849364443631272,logistic,0,100,5,adaptive,sgd,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'adaptive', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
5,0.7119400024414062,0.15330983829593717,0.0005151271820068359,6.766982916344256e-05,logistic,0,100,5,adaptive,adam,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'adaptive', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
6,0.016144657135009767,0.004475491834212189,0.0006796836853027344,0.00016202182876194388,logistic,0,100,5,invscaling,lbfgs,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
7,0.5438087463378907,0.14860859710167645,0.0004645347595214844,7.237511608150642e-05,logistic,0,100,5,invscaling,sgd,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'solver': 'sgd'}",0.25,0.25,0.25,0.25,0.25,0.25,0.0,623
8,0.6706840991973877,0.15805045528884432,0.0004951000213623047,8.836920872556936e-05,logistic,0,100,5,invscaling,adam,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 5, 'learning_rate': 'invscaling', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
9,0.014822101593017578,0.0008517836346682364,0.0005841255187988281,2.1528022729826814e-05,logistic,0,100,8,constant,lbfgs,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
10,0.5846967697143555,0.1328840045541929,0.0005363941192626954,6.923494914617682e-05,logistic,0,100,8,constant,sgd,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
11,0.657826042175293,0.15080599660716468,0.0005164623260498046,9.966597007706814e-05,logistic,0,100,8,constant,adam,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'constant', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
12,0.014972543716430664,0.0009475117725877473,0.0006384849548339844,4.348299981467798e-05,logistic,0,100,8,adaptive,lbfgs,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
13,0.5312527656555176,0.13406299284375456,0.0004737377166748047,7.666720042658748e-05,logistic,0,100,8,adaptive,sgd,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'solver': 'sgd'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
14,0.6485581398010254,0.14721237712602112,0.000674581527709961,0.00029003279029762456,logistic,0,100,8,adaptive,adam,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'adaptive', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
15,0.012131309509277344,0.002347678630997338,0.0004909992218017578,0.00010520130040917805,logistic,0,100,8,invscaling,lbfgs,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'invscaling', 'solver': 'lbfgs'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
16,0.5978251934051514,0.1279608773300568,0.0005209445953369141,9.678525794585332e-05,logistic,0,100,8,invscaling,sgd,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'invscaling', 'solver': 'sgd'}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,643
17,0.5988844394683838,0.14819355638109286,0.0005113124847412109,0.00010996660946484338,logistic,0,100,8,invscaling,adam,"{'activation': 'logistic', 'alpha': 0, 'batch_size': 100, 'hidden_layer_sizes': 8, 'learning_rate': 'invscaling', 'solver': 'adam'}",1.0,1.0,1.0,1.0,1.0,1.0,0.0,1
